molecule_chembl_id,canonical_smiles,log_ic50(pchembl)
CHEMBL121953,Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ncccc1-3,3.366999996729051
CHEMBL121957,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(I)ccc2N1,5.154999997519168
CHEMBL121958,COC(=O)/C=C/c1ccc2c(c1)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,4.823999952363053
CHEMBL1230607,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,8.301029995663981
CHEMBL1231206,Cc1ccc(-c2ccc3c(ccc4sc5c(c43)NC[C@@H](C)NC5=O)n2)cn1,6.044793462458058
CHEMBL1233473,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Cl)c(Cl)c32)N1,7.2076083105017466
CHEMBL126077,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12,7.0
CHEMBL1276127,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O,5.110698297493689
CHEMBL1288582,COc1ccc2cc(-c3n[nH]c4cccnc34)[nH]c2c1,5.130181792020672
CHEMBL134501,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cccnc2N1,5.045757490560675
CHEMBL14445,Cc1nccc2c1[nH]c1cc(F)ccc12,4.619788758288394
CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,6.568636235841013
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,4.292429823902063
CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,5.42021640338319
CHEMBL1614763,Nc1nc(Nc2ccc(Cl)cc2)sc1C(=O)c1cccc([N+](=O)[O-])c1,5.861697301833718
CHEMBL170138,CO/N=C1/C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,6.3979400086720375
CHEMBL170640,O=Nc1c(-c2c(O)[nH]c3cc(Br)c([N+](=O)[O-])cc23)[nH]c2ccccc12,6.823908740944319
CHEMBL172540,O=C1C(c2c(O)[nH]c3cc(F)ccc23)=Nc2ccccc21,6.0
CHEMBL172547,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Br)c([N+](=O)[O-])cc23)=Nc2ccccc21,4.508638306165727
CHEMBL173040,O=Nc1c(-c2c(O)[nH]c3cc(Cl)ccc23)[nH]c2ccccc12,7.0
CHEMBL173178,Cc1cc2c(C3=Nc4ccccc4C3=O)c(O)[nH]c2cc1Br,4.221848749616356
CHEMBL1738742,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2[nH]nc(C(C)C)c2n1,6.698970004336019
CHEMBL174068,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Cl)ccc23)=Nc2ccccc21,6.698970004336019
CHEMBL174292,O=Nc1c(-c2c(O)[nH]c3cc(F)ccc23)[nH]c2ccccc12,6.823908740944319
CHEMBL174343,O=C1C(c2c(O)[nH]c3cc(I)ccc23)=Nc2ccccc21,5.275724130399211
CHEMBL174612,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Br)c(C)cc23)=Nc2ccccc21,4.522878745280337
CHEMBL175053,C=Cc1ccc2c(C3=Nc4ccccc4C3=O)c(O)[nH]c2c1,5.619788758288394
CHEMBL175155,Cc1cc2c(-c3[nH]c4ccccc4c3N=O)c(O)[nH]c2cc1Br,6.886056647693163
CHEMBL1761778,Nc1nc(Nc2ccc(Cl)cc2)sc1C(=O)c1cccc(F)c1,6.154901959985743
CHEMBL1761779,COc1cccc(C(=O)c2sc(Nc3ccc(Cl)cc3)nc2N)c1,5.3979400086720375
CHEMBL1761780,Nc1nc(NC2CCCNC2)sc1C(=O)c1cccc(F)c1,6.301029995663981
CHEMBL1761781,Nc1nc(NC2CCNCC2)sc1C(=O)c1cccc(F)c1,5.207608310501746
CHEMBL1761782,Nc1cccc(Nc2nc(N)c(C(=O)c3cccc(F)c3)s2)c1,7.508638306165727
CHEMBL1761783,CNc1cccc(Nc2nc(N)c(C(=O)c3cccc(F)c3)s2)c1,7.356547323513812
CHEMBL1761784,CN(C)c1ccc(Nc2nc(N)c(C(=O)c3cccc(F)c3)s2)cc1,7.167491087293763
CHEMBL1761785,Nc1nc(Nc2ccccn2)sc1C(=O)c1cccc(F)c1,7.481486060122112
CHEMBL1761786,Nc1nc(Nc2ccccn2)sc1C(=O)c1ccccc1F,7.42021640338319
CHEMBL1761787,Nc1nc(Nc2ccccn2)sc1C(=O)c1ccc(F)cc1,5.920818753952375
CHEMBL1761788,COc1ccccc1C(=O)c1sc(Nc2ccccn2)nc1N,7.096910013008056
CHEMBL1761789,COc1cccc(C(=O)c2sc(Nc3ccccn3)nc2N)c1,6.3979400086720375
CHEMBL1761790,COc1ccc(C(=O)c2sc(Nc3ccccn3)nc2N)cc1,5.958607314841775
CHEMBL1761791,Nc1nc(Nc2cccnc2)sc1C(=O)c1ccccc1F,7.522878745280337
CHEMBL1761792,Nc1nc(Nc2cccnc2)sc1C(=O)c1cccc(F)c1,7.2076083105017466
CHEMBL1761793,Nc1nc(Nc2cccnc2)sc1C(=O)c1ccc(F)cc1,5.3872161432802645
CHEMBL1761794,Nc1nc(Nc2cccnc2)sc1C(=O)c1ccccc1,6.467245621007502
CHEMBL1761795,Nc1nc(Nc2cccnc2)sc1C(=O)c1cccc([N+](=O)[O-])c1,6.886056647693163
CHEMBL1761796,COc1ccccc1C(=O)c1sc(Nc2cccnc2)nc1N,6.3788237182249645
CHEMBL1761797,COc1cccc(C(=O)c2sc(Nc3cccnc3)nc2N)c1,7.958607314841775
CHEMBL1761798,COc1ccc(C(=O)c2sc(Nc3cccnc3)nc2N)cc1,5.455931955649724
CHEMBL1761799,Nc1nc(Nc2ccncc2)sc1C(=O)c1ccccc1F,6.443697499232712
CHEMBL1761800,Nc1nc(Nc2ccncc2)sc1C(=O)c1cccc(F)c1,7.7447274948966935
CHEMBL1761801,Nc1nc(Nc2ccncc2)sc1C(=O)c1ccc(F)cc1,6.3979400086720375
CHEMBL1761802,COc1ccccc1C(=O)c1sc(Nc2ccncc2)nc1N,7.221848749616356
CHEMBL1761803,COc1cccc(C(=O)c2sc(Nc3ccncc3)nc2N)c1,6.698970004336019
CHEMBL1761804,COc1ccc(C(=O)c2sc(Nc3ccncc3)nc2N)cc1,6.221848749616356
CHEMBL1761805,Nc1nc(Nc2cccnc2)sc1C(=O)c1ccccn1,6.096910013008056
CHEMBL1761806,Nc1nc(Nc2cccnc2)sc1C(=O)c1cccnc1,7.0
CHEMBL1761807,Nc1nc(Nc2cccnc2)sc1C(=O)c1ccncc1,5.767003889607846
CHEMBL1761809,Nc1nc(Nc2ccc(C(F)(F)F)nc2)sc1C(=O)c1ccccc1F,6.795880017344075
CHEMBL176306,O=C1C(c2c(O)[nH]c3cccc(Cl)c23)=Nc2ccccc21,5.0
CHEMBL176896,CC(=O)O/N=C1/C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,6.154901959985743
CHEMBL176904,O=C1C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2ccccc21,4.275724130399211
CHEMBL177146,O=Nc1c(-c2c(O)[nH]c3cc(I)ccc23)[nH]c2ccccc12,6.522878745280337
CHEMBL1782168,O=C1Cc2c([nH]c3ccncc23)-c2ccccc2N1,5.522878745280337
CHEMBL1782169,O=C1Cc2c([nH]c3cc[n+](Cc4ccccc4)cc23)-c2ccccc2N1.[Br-],5.136677139879544
CHEMBL1782170,O=C1Cc2c([nH]c3cc[n+]([O-])cc23)-c2ccccc2N1,5.136677139879544
CHEMBL1795354,O=C(Nc1sc2c(c1Cc1nnc(S)n1NC(=O)c1ccc(Cl)cc1)CCCC2)c1ccccc1,6.73754891026957
CHEMBL1795356,COC(=O)CSc1nnc(Cc2c(NC(=O)c3ccccc3)sc3c2CCCC3)n1NC(=O)c1ccccc1,6.452225294612178
CHEMBL1796144,O=C(Cc1c(NC(=O)CCl)sc2c1CCCC2)NNC(=S)[S-].[K+],6.607303046740334
CHEMBL1796145,CC(=O)Nc1sc2c(c1CC(=O)NNC(=S)[S-])CCCC2.[K+],6.460923901207224
CHEMBL1796146,O=C(Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2)NNC(=S)[S-].[K+],6.428291168191312
CHEMBL1796147,O=C(O)CCNc1sc2c(c1CC(=O)NNC(=S)[S-])CCCC2.[K+],6.401209493236885
CHEMBL1796148,Nn1c(S)nnc1Cc1c(NC(=O)CCl)sc2c1CCCC2,7.366531544420414
CHEMBL1796149,CC(=O)Nc1sc2c(c1Cc1nnc(S)n1N)CCCC2,6.413412695328245
CHEMBL1796150,Nn1c(S)nnc1Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2,6.20690839982342
CHEMBL1796151,Nn1c(S)nnc1Cc1c(NCCC(=O)O)sc2c1CCCC2,6.5718652059712115
CHEMBL1796152,O=C(CCl)Nc1sc2c(c1Cc1nnc(S)n1NC(=O)c1ccc(Cl)cc1)CCCC2,6.464705879957229
CHEMBL1796153,CC(=O)Nc1sc2c(c1Cc1nnc(S)n1NC(=O)c1ccc(Cl)cc1)CCCC2,6.337242168318426
CHEMBL1796154,O=C(O)CCNc1sc2c(c1Cc1nnc(S)n1NC(=O)c1ccc(Cl)cc1)CCCC2,6.34008379993015
CHEMBL1796155,O=C(CCl)Nc1sc2c(c1Cc1nnc(S)n1NC(=O)c1ccccc1)CCCC2,6.124360062995832
CHEMBL1796156,CC(=O)Nc1sc2c(c1Cc1nnc(S)n1NC(=O)c1ccccc1)CCCC2,6.242603971206976
CHEMBL1796157,O=C(Nc1sc2c(c1Cc1nnc(S)n1NC(=O)c1ccccc1)CCCC2)c1ccccc1,6.050122295963125
CHEMBL1796158,O=C(O)CCNc1sc2c(c1Cc1nnc(S)n1NC(=O)c1ccccc1)CCCC2,6.17134010346468
CHEMBL1796159,CC(=O)Nn1c(S)nnc1Cc1c(NC(=O)CCl)sc2c1CCCC2,6.161780778092374
CHEMBL1796160,CC(=O)Nc1sc2c(c1Cc1nnc(S)n1NC(C)=O)CCCC2,6.2335871528876
CHEMBL1796161,CC(=O)Nn1c(S)nnc1Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2,6.209011524911184
CHEMBL1796162,CC(=O)Nn1c(S)nnc1Cc1c(NCCC(=O)O)sc2c1CCCC2,6.363512103646634
CHEMBL1796163,O=C(CCl)Nc1sc2c(c1Cc1nnc(SCSc3nnc(Cc4c(NC(=O)CCl)sc5c4CCCC5)n3NC(=O)c3ccc(Cl)cc3)n1NC(=O)c1ccc(Cl)cc1)CCCC2,6.468521082957745
CHEMBL1796164,CC(=O)Nc1sc2c(c1Cc1nnc(SCSc3nnc(Cc4c(NC(C)=O)sc5c4CCCC5)n3NC(=O)c3ccc(Cl)cc3)n1NC(=O)c1ccc(Cl)cc1)CCCC2,6.43533393574791
CHEMBL1796165,O=C(Nc1sc2c(c1Cc1nnc(SCSc3nnc(Cc4c(NC(=O)c5ccccc5)sc5c4CCCC5)n3NC(=O)c3ccc(Cl)cc3)n1NC(=O)c1ccc(Cl)cc1)CCCC2)c1ccccc1,6.202732459169283
CHEMBL1796166,O=C(O)CCNc1sc2c(c1Cc1nnc(SCSc3nnc(Cc4c(NCCC(=O)O)sc5c4CCCC5)n3NC(=O)c3ccc(Cl)cc3)n1NC(=O)c1ccc(Cl)cc1)CCCC2,6.785156151952302
CHEMBL1796167,O=C(CCl)Nc1sc2c(c1Cc1nnc(SCSc3nnc(Cc4c(NC(=O)CCl)sc5c4CCCC5)n3NC(=O)c3ccccc3)n1NC(=O)c1ccccc1)CCCC2,6.174573882232177
CHEMBL1796168,CC(=O)Nc1sc2c(c1Cc1nnc(SCSc3nnc(Cc4c(NC(C)=O)sc5c4CCCC5)n3NC(=O)c3ccccc3)n1NC(=O)c1ccccc1)CCCC2,6.189767482004916
CHEMBL1796169,O=C(Nc1sc2c(c1Cc1nnc(SCSc3nnc(Cc4c(NC(=O)c5ccccc5)sc5c4CCCC5)n3NC(=O)c3ccccc3)n1NC(=O)c1ccccc1)CCCC2)c1ccccc1,6.158015195409886
CHEMBL1796170,O=C(O)CCNc1sc2c(c1Cc1nnc(SCSc3nnc(Cc4c(NCCC(=O)O)sc5c4CCCC5)n3NC(=O)c3ccccc3)n1NC(=O)c1ccccc1)CCCC2,6.238824186844268
CHEMBL1796330,CC(=O)Nn1c(Cc2c(NC(=O)CCl)sc3c2CCCC3)nnc1SCSc1nnc(Cc2c(NC(=O)CCl)sc3c2CCCC3)n1NC(C)=O,6.071092309756048
CHEMBL1796331,CC(=O)Nc1sc2c(c1Cc1nnc(SCSc3nnc(Cc4c(NC(C)=O)sc5c4CCCC5)n3NC(C)=O)n1NC(C)=O)CCCC2,6.0762380391713
CHEMBL1796332,CC(=O)Nn1c(Cc2c(NC(=O)c3ccccc3)sc3c2CCCC3)nnc1SCSc1nnc(Cc2c(NC(=O)c3ccccc3)sc3c2CCCC3)n1NC(C)=O,6.115771230367396
CHEMBL1796333,CC(=O)Nn1c(Cc2c(NCCC(=O)O)sc3c2CCCC3)nnc1SCSc1nnc(Cc2c(NCCC(=O)O)sc3c2CCCC3)n1NC(C)=O,6.134303940083929
CHEMBL1796334,N#CCSc1nnc(Cc2c(NC(=O)CCl)sc3c2CCCC3)n1NC(=O)c1ccc(Cl)cc1,7.236572006437063
CHEMBL1796335,CC(=O)Nc1sc2c(c1Cc1nnc(SCC#N)n1NC(=O)c1ccc(Cl)cc1)CCCC2,6.3819519032879075
CHEMBL1796336,N#CCSc1nnc(Cc2c(NC(=O)c3ccccc3)sc3c2CCCC3)n1NC(=O)c1ccc(Cl)cc1,6.258848401148215
CHEMBL1796337,N#CCSc1nnc(Cc2c(NCCC(=O)O)sc3c2CCCC3)n1NC(=O)c1ccc(Cl)cc1,6.374687549038326
CHEMBL1796338,N#CCSc1nnc(Cc2c(NC(=O)CCl)sc3c2CCCC3)n1NC(=O)c1ccccc1,6.182434630440219
CHEMBL1796339,CC(=O)Nc1sc2c(c1Cc1nnc(SCC#N)n1NC(=O)c1ccccc1)CCCC2,6.405607449624573
CHEMBL1796340,N#CCSc1nnc(Cc2c(NC(=O)c3ccccc3)sc3c2CCCC3)n1NC(=O)c1ccccc1,6.313363730737707
CHEMBL1796341,N#CCSc1nnc(Cc2c(NCCC(=O)O)sc3c2CCCC3)n1NC(=O)c1ccccc1,5.3121144751512945
CHEMBL1796342,CC(=O)Nn1c(Cc2c(NC(=O)CCl)sc3c2CCCC3)nnc1SCC#N,7.214670164989233
CHEMBL1796343,CC(=O)Nc1sc2c(c1Cc1nnc(SCC#N)n1NC(C)=O)CCCC2,6.33913452199613
CHEMBL1796344,CC(=O)Nn1c(Cc2c(NC(=O)c3ccccc3)sc3c2CCCC3)nnc1SCC#N,6.248720896016658
CHEMBL1796345,CC(=O)Nn1c(Cc2c(NCCC(=O)O)sc3c2CCCC3)nnc1SCC#N,6.193141970481182
CHEMBL1796346,COC(=O)CSc1nnc(Cc2c(NC(=O)CCl)sc3c2CCCC3)n1NC(=O)c1ccc(Cl)cc1,6.3535962737769305
CHEMBL1796347,COC(=O)CSc1nnc(Cc2c(NC(C)=O)sc3c2CCCC3)n1NC(=O)c1ccc(Cl)cc1,6.410050398674292
CHEMBL1796348,COC(=O)CSc1nnc(Cc2c(NC(=O)c3ccccc3)sc3c2CCCC3)n1NC(=O)c1ccc(Cl)cc1,6.533132379645891
CHEMBL1796349,COC(=O)CSc1nnc(Cc2c(NCCC(=O)O)sc3c2CCCC3)n1NC(=O)c1ccc(Cl)cc1,6.266802734893431
CHEMBL1796350,COC(=O)CSc1nnc(Cc2c(NC(=O)CCl)sc3c2CCCC3)n1NC(=O)c1ccccc1,6.166852888087215
CHEMBL1796351,COC(=O)CSc1nnc(Cc2c(NC(C)=O)sc3c2CCCC3)n1NC(=O)c1ccccc1,6.2380721615794705
CHEMBL1796352,COC(=O)CSc1nnc(Cc2c(NCCC(=O)O)sc3c2CCCC3)n1NC(=O)c1ccccc1,6.193141970481182
CHEMBL1796353,COC(=O)CSc1nnc(Cc2c(NC(=O)CCl)sc3c2CCCC3)n1NC(C)=O,6.158015195409886
CHEMBL1796354,COC(=O)CSc1nnc(Cc2c(NC(C)=O)sc3c2CCCC3)n1NC(C)=O,6.410050398674292
CHEMBL1796355,COC(=O)CSc1nnc(Cc2c(NC(=O)c3ccccc3)sc3c2CCCC3)n1NC(C)=O,6.246416941107094
CHEMBL1796356,COC(=O)CSc1nnc(Cc2c(NCCC(=O)O)sc3c2CCCC3)n1NC(C)=O,6.134896025358872
CHEMBL1796357,NNC(=O)CSc1nnc(Cc2c(NC(=O)CCl)sc3c2CCCC3)n1NC(=O)c1ccc(Cl)cc1,7.4089353929735005
CHEMBL1796358,CC(=O)Nc1sc2c(c1Cc1nnc(SCC(=O)NN)n1NC(=O)c1ccc(Cl)cc1)CCCC2,7.1938200260161125
CHEMBL1796359,NNC(=O)CSc1nnc(Cc2c(NC(=O)c3ccccc3)sc3c2CCCC3)n1NC(=O)c1ccc(Cl)cc1,6.627087997029894
CHEMBL1796360,NNC(=O)CSc1nnc(Cc2c(NCCC(=O)O)sc3c2CCCC3)n1NC(=O)c1ccc(Cl)cc1,6.696803942579511
CHEMBL1796361,NNC(=O)CSc1nnc(Cc2c(NC(=O)CCl)sc3c2CCCC3)n1NC(=O)c1ccccc1,7.431798275933005
CHEMBL1796362,CC(=O)Nc1sc2c(c1Cc1nnc(SCC(=O)NN)n1NC(=O)c1ccccc1)CCCC2,6.716698771296451
CHEMBL1796363,NNC(=O)CSc1nnc(Cc2c(NC(=O)c3ccccc3)sc3c2CCCC3)n1NC(=O)c1ccccc1,6.578396073130169
CHEMBL1796364,NNC(=O)CSc1nnc(Cc2c(NCCC(=O)O)sc3c2CCCC3)n1NC(=O)c1ccccc1,6.341988603342887
CHEMBL1796365,CC(=O)Nn1c(Cc2c(NC(=O)CCl)sc3c2CCCC3)nnc1SCC(=O)NN,7.214670164989233
CHEMBL1796366,CC(=O)Nc1sc2c(c1Cc1nnc(SCC(=O)NN)n1NC(C)=O)CCCC2,6.603800652904264
CHEMBL1796367,CC(=O)Nn1c(Cc2c(NC(=O)c3ccccc3)sc3c2CCCC3)nnc1SCC(=O)NN,6.7447274948966935
CHEMBL1796368,CC(=O)Nn1c(Cc2c(NCCC(=O)O)sc3c2CCCC3)nnc1SCC(=O)NN,6.031050319018657
CHEMBL1796369,CC(=O)NNC(=O)CSc1nnc(Cc2c(NC(=O)CCl)sc3c2CCCC3)n1NC(=O)c1ccc(Cl)cc1,6.329754146925876
CHEMBL1796370,CC(=O)NNC(=O)CSc1nnc(Cc2c(NC(=O)c3ccccc3)sc3c2CCCC3)n1NC(C)=O,6.1944991418416
CHEMBL1796371,CC(=O)NNC(=O)CSc1nnc(Cc2c(NCCC(=O)O)sc3c2CCCC3)n1NC(C)=O,6.436518914605589
CHEMBL1796372,CC(=O)Nn1c(Cc2c(NC(=O)CCl)sc3c2CCCC3)nnc1SCC(=O)NNC(=O)c1ccccc1,6.440093374963888
CHEMBL1796373,CC(=O)Nc1sc2c(c1Cc1nnc(SCC(=O)NNC(=O)c3ccccc3)n1NC(C)=O)CCCC2,6.360513510731414
CHEMBL1796374,CC(=O)Nn1c(Cc2c(NC(=O)c3ccccc3)sc3c2CCCC3)nnc1SCC(=O)NNC(=O)c1ccccc1,6.386158178123931
CHEMBL1796375,CC(=O)Nn1c(Cc2c(NCCC(=O)O)sc3c2CCCC3)nnc1SCC(=O)NNC(=O)c1ccccc1,6.3223930472795065
CHEMBL1796376,CC(=O)Nn1c(Cc2c(NC(=O)CCl)sc3c2CCCC3)nnc1SCC(=O)NNC(=O)CCl,6.3448615651886175
CHEMBL1796377,CC(=O)Nc1sc2c(c1Cc1nnc(SCC(=O)NNC(=O)CCl)n1NC(C)=O)CCCC2,6.324221658325915
CHEMBL1796378,CC(=O)Nn1c(Cc2c(NC(=O)c3ccccc3)sc3c2CCCC3)nnc1SCC(=O)NNC(=O)CCl,6.446116973356125
CHEMBL1796495,CC(=O)Nn1c(Cc2c(NCCC(=O)O)sc3c2CCCC3)nnc1SCC(=O)NNC(=O)CCl,6.576754126063192
CHEMBL1796496,CC(=O)NNC(=O)CSc1nnc(Cc2c(NC(C)=O)sc3c2CCCC3)n1NC(=O)c1ccc(Cl)cc1,6.193141970481182
CHEMBL1796497,CC(=O)NNC(=O)CSc1nnc(Cc2c(NC(=O)c3ccccc3)sc3c2CCCC3)n1NC(=O)c1ccc(Cl)cc1,6.497572880015567
CHEMBL1796498,CC(=O)NNC(=O)CSc1nnc(Cc2c(NCCC(=O)O)sc3c2CCCC3)n1NC(=O)c1ccc(Cl)cc1,6.453457336521869
CHEMBL1796499,O=C(CSc1nnc(Cc2c(NC(=O)CCl)sc3c2CCCC3)n1NC(=O)c1ccc(Cl)cc1)NNC(=O)c1ccccc1,6.209714835966758
CHEMBL1796500,CC(=O)Nc1sc2c(c1Cc1nnc(SCC(=O)NNC(=O)c3ccccc3)n1NC(=O)c1ccc(Cl)cc1)CCCC2,6.279840696594043
CHEMBL1796501,O=C(CSc1nnc(Cc2c(NC(=O)c3ccccc3)sc3c2CCCC3)n1NC(=O)c1ccc(Cl)cc1)NNC(=O)c1ccccc1,6.316052869248487
