,hash,smiles,pValue
400,69b411faf936ccb6bb355660686df35a944472cc,COc1ccccc1NC(=O)Nc1ccc(Cl)c(Cl)c1,5.520210505999389
401,d32e48607a9a3c495c0ff0ae19e0d7c7b70f1500,Cc1cc(C)n2nc(nc2n1)-c1ccccc1,5.119563336427522
403,30a73d8b3d172478ea64cd9171ca55aa9d6aeb1a,Cc1ccc(cc1C)S(=O)(=O)Nc1ccc2oc(nc2c1)-c1ccccc1,5.987431852610538
448,e71716d648b9d7e77d34eeaf4cb49e2e6196ebcc,Cc1ccc(NC(=O)c2ccc(cc2)S(=O)(=O)N2CCc3ccccc3C2)cc1,5.870731120797464
468,ed0d55169f7e793fdc69cac6f25b9262ba55d189,Oc1ccc(cc1)-c1nc2cc(F)ccc2o1,5.316504324655743
470,f0ad40658433a453d23445e0e93d5197b3a94b20,CC(C)C(=O)N1CCN(Cc2ccccc2)CC1,4.963829139662212
478,5be03bedb1df6e7ba52872f815b6e82ee900aaa2,COc1ccc(cc1)-c1cc(nc(C)n1)-c1ccccc1,4.824079842854688
488,0ccd0cbc5b189449c8e418101a13079adffe9a9d,CC(=O)N1CCN(CC1)C(=O)Nc1ccc(Cl)cc1C,5.213945496742909
500,9f36dc0ca3e157d1aa96ca5702c22e1f80c5e1c5,CC(C)c1ccc(NC(=O)C2CCN(CC2)S(=O)(=O)c2ccc(Cl)cc2)cc1,5.792373531936602
501,f59e9642598f203a74b96640859a695673b110d8,Cc1cccc(c1)C(=O)Nc1c(Cl)cccc1Cl,5.118659968140603
