,hash,smiles,pValue
49,f43cd65e3da07a04ae9f13cfc61d6ffa2e991514,CC(=O)c1cccc(c1)N1CCN(CC1)c1ccc(NC(=O)c2ccccc2)cc1,5.783633139234363
269,5b91c9a0a273e046c3e9f0f96737aa96b2ef90ec,Cc1ccc(cc1)-c1cc(C(=O)N2CCOCC2)c2ccccc2n1,5.623634162796906
319,4d3143207b6660308e68b8bd803a8c44ff909fcd,Cc1ccc(NC(=O)c2cccc(c2)S(=O)(=O)N2CCc3ccccc23)cc1C,5.534358513667317
321,e4317fd6e6522550cf48db1ed65d3d15d28ec964,Cc1ccc2nc(NC(=O)c3ccccc3C)sc2c1,5.224873438734765
442,cb06ea9daee7ff8ab6b558dfea406f2f50d223ca,COc1ccc(cc1)-c1nnc(NC(=O)c2ccccc2)s1,5.956960192600484
