,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,HallKierAlpha,Ipc,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumHAcceptors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azo,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_imidazole,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_methoxy,fr_morpholine,fr_nitro,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_thiazole,fr_thiophene,fr_unbrch_alkane
0,13.064618560743114,0.060294180788686313,-1.5312532919429147,0.4594823422157547,21.783783783783782,501.5870000000003,0.32268408778305596,-0.4967419779291533,0.4967419779291533,0.32268408778305596,1.0,16.465404986394923,9.985560883726249,2.479699204577533,-2.3353385179958956,2.281799659151841,-2.540214225458774,6.096919635621808,-0.12204534292337757,3.373104776285149,1.2995761683170461,1273.7130894149127,-3.87,301926284.7072252,19.853471019507335,5.749511833283905,0.0,5.538925252383345,11.814359458703011,6.031114512338072,19.80577270300045,4.794537184071822,0.0,0.0,36.963707042786744,41.93712766315301,50.39544141886944,13.65455394719011,19.120474506015512,17.845473971041084,0.0,25.333306400564094,0.0,25.55217526389912,46.37833597675298,64.71837544601925,17.590380470995193,15.37044016181271,4.794537184071822,5.749511833283905,0.0,84.46246439272886,17.884049995896973,11.840868637711289,33.97208035055043,42.46456947923127,0.0,0.0,94.22,17.477219494072923,14.383611552215466,0.0,12.45193613526408,17.857719730893475,50.39544141886944,10.463361222547473,19.242531678200752,30.33183534230805,39.19800250711553,4.736862953800049,5.235953387396966,44.42021275419165,4.931298824318677,1.7658319155089568,5.814766706840672,12.644518008599132,0.0,8.727108956834817,1.543642779642465,0.39285714285714285,2,9,0,3,3,4,2,0,2,1,6,9,3,6,0,2,2,0,0,5,1.4184000000000008,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,13.013765917577938,0.06323066263542465,-1.5316635654108595,0.4594073115816655,21.5,459.50600000000026,0.322684087783056,-0.4967419779291533,0.4967419779291533,0.322684087783056,1.0588235294117647,16.465400708317688,9.986788896267225,2.4795751978501577,-2.289843088214852,2.282278297519703,-2.5402178962030293,6.096974824124979,-0.12204473872895777,3.323235197670233,1.3774792916639638,1210.047191229039,-4.03,78841229.40597604,25.170259623513665,5.749511833283905,0.0,5.538925252383345,11.814359458703011,6.031114512338072,14.905862972149976,4.794537184071822,0.0,0.0,17.907235706172898,41.96165390246666,49.53807128764043,13.65455394719011,19.120474506015512,23.532860245724645,0.0,20.85027554286947,0.0,12.08368165829592,44.73348930169089,59.15492395432226,17.590380470995193,25.587138496669517,10.481923458755384,5.749511833283905,0.0,68.1178885251153,11.339293589984397,11.840868637711289,21.48489165916281,42.46456947923127,0.0,0.0,103.00999999999999,17.477219494072923,14.383611552215466,0.0,12.45193613526408,23.421171222590473,37.42986339003086,12.009707272128011,12.13273413692322,30.33183534230805,32.69114418058076,4.736862953800049,5.221681045717528,41.640706552154285,8.235525202359716,1.6584711227902433,5.7585600383698425,12.484046530209806,0.0,4.044481890978804,1.5398609507531096,0.32,3,9,0,3,3,4,2,0,2,1,6,9,3,4,0,2,2,0,0,5,0.6905000000000009,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,13.041401131346994,0.07436447557326686,-1.549932666315207,0.4901936430185122,22.055555555555557,487.56000000000034,0.32268408780320107,-0.4967419779291533,0.4967419779291533,0.32268408780320107,1.1666666666666667,16.465402041456482,9.919561601729749,2.479769646781352,-2.281811083937064,2.2829074261382267,-2.5402231576637915,6.096877032737621,-0.12204532976172697,3.3368637334154045,1.3204357746528652,1257.1604991424836,-3.9000000000000004,175361532.40943307,19.853471019507335,5.749511833283905,0.0,5.538925252383345,11.814359458703011,6.031114512338072,19.889841493097183,4.794537184071822,0.0,0.0,17.907235706172898,75.1464754749852,29.562430955768104,13.65455394719011,19.120474506015512,17.845473971041084,0.0,25.417375190660824,5.917906046161393,31.346146527073948,33.79173874169245,58.912961383860576,17.590380470995193,15.37044016181271,4.794537184071822,5.749511833283905,0.0,71.95993594776505,17.760115212910407,17.75877468387268,40.02046289986329,36.52867891392113,0.0,0.0,103.87,17.477219494072923,14.383611552215466,0.0,12.45193613526408,29.33907726875187,30.767713921296618,24.85135051798003,18.3295777085363,18.19910120538483,39.40600608019883,4.736862953800049,5.227989033756103,46.34883865814646,4.898493379740708,1.4578800471628177,6.3271617887974445,8.52347501993609,4.973250417775938,2.4697126233249986,3.6898656980261078,0.4074074074074074,2,9,0,3,3,4,1,1,2,1,6,9,4,5,0,2,2,0,0,5,1.5601999999999996,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,13.00844102167612,0.059743352153921014,-1.6003991323598106,0.39819739220960193,18.428571428571427,468.46900000000016,0.32268408778305596,-0.5056656766019144,0.5056656766019144,0.32268408778305596,1.1428571428571428,16.46541754875849,9.984322770217688,2.4795301652747996,-2.258278976709606,2.2883908552523526,-2.5402099815117256,6.097058625143038,-0.1220455169161045,3.3219341545676833,1.4163538502504498,1423.6449470729333,-4.84,112877940.64760157,20.060088683497565,17.19295166141627,0.0,5.538925252383345,11.814359458703011,6.031114512338072,19.889841493097183,4.794537184071822,0.0,0.0,30.039969843096117,41.96165390246666,29.43195445261664,13.65455394719011,24.22700190085622,17.845473971041084,0.0,20.517465459810346,0.0,12.08368165829592,13.65455394719011,77.48450166285856,34.59727179082456,15.37044016181271,4.794537184071822,11.49902366656781,0.0,52.02936881725293,11.339293589984397,11.840868637711289,21.48489165916281,60.794147187767564,0.0,11.257379486545457,120.85999999999999,17.477219494072923,19.49013894705617,0.0,24.74620437446056,28.133794303223354,5.563451491696996,12.009707272128011,60.794147187767564,0.0,27.458424366671156,4.736862953800049,5.206084593765287,43.45949943628236,14.822944535267538,1.4149810801092177,5.543822154823997,14.695776636382295,1.585244372623069,0.16696489322807428,1.5213489641848295,0.15384615384615385,3,9,0,2,2,4,2,1,3,1,6,9,3,4,0,1,1,0,0,5,2.0484999999999998,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,12.922891241277439,0.10964860073063498,-1.592491680314101,0.4623573148640144,19.03125,432.4360000000002,0.32268408778305596,-0.4967419779291533,0.4967419779291533,0.32268408778305596,1.1875,16.46540577200834,9.984779506018201,2.479388260523878,-2.258267796061107,2.2809882888147617,-2.540211773954957,6.096975140287935,-0.12218351635680706,3.2170210098236898,1.5964503564297083,1195.102846404539,-4.32,17180024.58385396,20.687228765819043,5.749511833283905,0.0,11.446104981734852,11.814359458703011,6.031114512338072,19.700400156221797,4.794537184071822,0.0,0.0,30.039969843096117,35.392371257240434,17.671659389306566,20.07537557011612,23.915011690087333,23.75265370039259,0.0,15.533486938863138,5.733667477162185,18.50450328122193,13.65455394719011,64.71837544601925,17.590380470995193,21.104107638974895,4.794537184071822,5.749511833283905,0.0,47.84604263081652,22.554652396982227,11.840868637711289,27.048343150859804,42.46456947923127,0.0,0.0,130.82999999999998,23.384399223424428,19.178148736287287,0.0,25.417514164102666,16.876414816677897,11.126902983393991,12.009707272128011,42.46456947923127,0.0,22.47444584572395,10.470530430962235,5.184671645620343,50.011793859635446,4.7707610793654265,6.203984141848664,4.948223148820376,11.338330800045318,0.10964860073063498,0.1663857697290927,1.5162009542046935,0.21739130434782608,4,9,0,2,2,5,2,0,2,1,5,9,2,5,0,1,1,0,0,4,0.308700000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,15.462474293501462,0.0968292997076019,-1.746058120242707,0.29167532405830865,19.75,598.6350000000001,0.3226840877831235,-0.5056606860344024,0.5056606860344024,0.3226840877831235,1.0454545454545454,19.14220122032442,9.983085684496585,2.4802890817906325,-2.3449420300700514,2.3248568670253706,-2.5402220877823605,6.097209934659124,-0.12204731232413417,3.4904802601187956,1.249143403692195,1727.6917096309214,-5.1499999999999995,9555552568.441124,29.85990814519852,28.828035280297193,0.0,5.538925252383345,11.814359458703011,6.031114512338072,14.905862972149976,14.16893075269385,0.0,0.0,24.830972905863522,54.57277737684084,49.41413650465386,13.65455394719011,28.617416948531037,23.66333674887611,0.0,25.417375190660824,0.0,19.007418857986544,51.27824570760346,71.03851186382977,34.59727179082456,20.270349892663187,15.002815009581669,11.49902366656781,0.0,89.65306057766628,11.339293589984397,17.658089478757184,28.40862885885343,48.53093654769288,0.0,11.257379486545457,127.33999999999999,23.294440335118818,19.49013894705617,4.39041504767482,41.56703535270301,17.130826102815927,38.28723352125987,30.208808477512843,30.33183534230805,0.0,44.181981028062744,4.736862953800049,20.684804585459677,48.728783012247455,15.282525042074042,-0.11107535944488445,4.903086888787623,11.829109334131148,0.0,6.429641959090041,1.5031245376548998,0.3125,3,11,0,3,3,4,2,1,3,1,8,12,4,6,0,2,2,0,0,6,2.3295000000000003,0,0,0,0,0,1,0,1,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
6,14.533309722654785,0.06034873231375082,-0.5460432693722901,0.25981826301386013,14.613636363636363,592.671,0.2552380718931313,-0.3787927180120615,0.3787927180120615,0.2552380718931313,0.7727272727272727,19.142217334294802,9.96266923390229,2.2304803867426237,-2.2597436721400044,2.2958858510556106,-2.408987850174627,6.123750905521115,0.03829727125155393,3.187397840131521,1.1362179508388188,1702.7251387429362,-4.8599999999999985,11853220018.28717,20.68722876581904,5.817220841045895,5.783244946364939,0.0,11.814359458703011,0.0,19.28352128306594,4.39041504767482,0.0,0.0,24.26546827384644,84.63221691386212,59.807604139805406,18.9011502037094,23.510889553690333,34.65976322911864,0.0,10.216698334856808,0.0,12.841643245852019,50.0263667606888,124.12706874969045,0.0,15.950365812018994,21.452573871725505,0.0,0.0,61.89030368859456,17.578506199652068,5.817220841045895,47.76432050239744,84.92913895846256,0.0,0.0,99.77000000000001,11.7244005703974,18.774026599890284,0.0,17.377810950400008,60.54135582226198,36.448558475815275,12.13273413692322,60.6636706846161,12.13273413692322,20.85027554286947,4.736862953800049,19.903980868867613,41.339752146520276,8.868987590112662,5.194190881517314,-1.2640064960593997,23.901322736832327,1.3047191623355388,4.417719776540327,0.0,0.22857142857142856,3,8,1,1,2,2,4,0,4,0,6,9,1,8,0,1,1,0,0,6,5.213200000000005,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,2,0,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,13.633949922982662,0.17207653824717317,-0.5857903333372314,0.5155165595453938,18.285714285714285,489.5970000000003,0.33784198829205353,-0.4625117551625852,0.4625117551625852,0.33784198829205353,1.1428571428571428,32.13348870750284,9.958073859861825,2.3267373877718596,-2.283671600061125,2.300447616011693,-2.394682183948825,7.065520858703336,-0.1386163753583086,3.186496042671752,1.5723139098009968,1432.2721917769095,-3.4899999999999993,134197878.77886206,14.373635638450576,0.0,4.801402653462074,0.0,5.559266895052007,5.969305287951849,9.361636831863176,9.786941916707491,0.0,0.0,53.801355357166,43.18313162653234,18.776899086508713,41.66497624342098,14.268263091671919,29.069497547404026,0.0,4.567099647791355,4.992404732635669,19.88931522852921,37.81006843621439,96.68190285286869,0.0,19.79292495697373,5.687386274683562,0.0,11.336785877934737,43.446563641107105,14.268263091671919,0.0,31.0162182119232,75.6543893759871,0.0,6.076020106833881,73.13,12.011146117099809,9.589074368143644,0.0,12.166148859564924,20.603892174196346,43.11756599892854,11.336785877934737,18.414574047172604,48.54058958606515,22.025048600409367,9.473725907600098,12.959051720971729,34.02928873921694,0.0,3.711954746711553,-0.4485331983622578,17.159493440979958,1.887261038674729,7.0348122902118835,0.0,0.2962962962962963,0,7,0,2,2,0,2,1,3,1,8,8,3,5,0,1,1,0,1,5,2.634900000000001,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,13.341295920792263,0.0074475641082469846,-4.40295734513315,0.2111759308050027,12.325,547.6210000000001,0.41598582896098585,-0.4637313839401459,0.4637313839401459,0.41598582896098585,0.825,19.41319158974175,10.055747319694603,2.302889119421691,-2.214696519542382,2.320210939986354,-2.310871306844861,5.853520929718881,-0.13713452860223213,3.2808081837921215,1.2876752376474316,1735.8575143176724,-3.879999999999998,826863162.6662127,18.784070046545658,5.583020141642242,5.428790391900541,0.0,0.0,6.176298517443475,4.794537184071822,0.0,13.171245143024459,0.0,24.26546827384644,81.03137525059627,49.01293117610873,22.729539419417108,17.588396080077807,21.872169288188097,0.0,14.366919109492311,0.0,33.11328572864987,27.18485677717953,111.1642622863256,5.687386274683562,5.428790391900541,13.171245143024459,0.0,0.0,41.55177588667184,19.265811329268626,13.847474399381248,27.817257458484978,82.33536537299342,0.0,27.559555562871658,41.620000000000005,11.73975000914047,17.96578232709628,0.0,5.428790391900541,41.85435134022533,40.20440288154623,12.13273413692322,12.329530064100666,75.10496399490971,9.799819461700956,4.417150937053347,47.614161870643294,17.31995807941444,1.5997194678667308,5.034833398241702,0.0,16.936879695006773,-0.9241339875299959,6.51867671548777,3.983238094202616,0.28125,0,5,0,0,0,0,3,2,5,0,5,8,2,8,0,0,0,0,0,5,6.9363400000000075,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,12.06481709813555,0.036759259259258936,-1.5118537414965993,0.4223669733031333,32.69565217391305,328.2730000000001,0.3387723979704754,-0.5041384795823906,0.5041384795823906,0.3387723979704754,1.2608695652173914,16.60148412552833,9.85848856419612,2.51559273204767,-2.4403927735495885,2.4926097127303097,-2.5756423906795276,5.9456519445536085,-0.23470893103132937,2.5193882649595833,2.155182321535796,643.625379251727,-2.0700000000000003,145671.02947996312,39.743225835603674,24.41586555099321,17.602990054316113,5.749511833283905,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,0.0,6.06636706846161,5.563451491696996,19.280130997487447,44.537763019675495,5.969305287951849,0.0,0.0,0.0,30.51983193874151,13.716679505790452,17.193270051855603,17.248535499851716,4.736862953800049,0.0,17.248535499851716,0.0,69.63448731893904,9.473725907600098,0.0,22.025406555214115,6.06636706846161,0.0,0.0,145.91,54.59504285777409,30.327174158275348,0.0,16.876414816677897,0.0,6.06636706846161,7.109797541277533,0.0,0.0,0.0,14.210588861400147,15.428930854749307,12.06481709813555,49.327321717267154,-0.18738000755857853,-2.1551461587721494,1.0567139077853362,-6.504860769925256,-0.5826321176618796,1.218902142647182,0.5,5,9,0,2,2,0,1,0,1,5,9,9,2,2,0,1,1,0,0,3,-1.2006000000000006,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
